epoch,batch,loss,time_per_10_steps
1,10,2.3232,1.3299
1,20,2.3031,1.0615
1,30,2.2655,1.0409
1,40,2.1109,1.0322
1,50,1.9085,1.6249
1,60,1.7198,2.0599
1,70,1.4812,1.0725
1,80,1.3899,1.0353
1,90,1.2278,1.0404
1,100,1.1195,1.0396
1,110,0.9965,1.0454
1,120,0.9505,1.0345
1,130,0.9836,1.0383
1,140,0.7622,1.1502
1,150,0.7799,1.0605
1,160,0.7338,1.5583
1,170,0.7684,2.0937
1,180,0.6996,1.0904
1,190,0.7045,1.0335
1,200,0.6972,1.0375
1,210,0.6632,1.0299
1,220,0.6934,1.0358
1,230,0.6702,1.0460
1,240,0.6201,1.0446
1,250,0.5978,1.0280
1,260,0.6019,1.0324
1,270,0.6235,1.2981
1,280,0.6254,2.0405
1,290,0.5799,1.4470
1,300,0.5340,1.0535
1,310,0.4999,3.0238
1,320,0.5361,2.1004
1,330,0.5010,1.0336
1,340,0.5950,1.0302
1,350,0.5796,1.0228
1,360,0.5147,2.0212
1,370,0.5684,1.7060
1,380,0.5389,1.0413
1,390,0.5340,1.0503
1,400,0.5265,1.0337
1,410,0.6272,1.0692
1,420,0.5607,1.0405
1,430,0.4502,1.0461
1,440,0.5086,1.0252
1,450,0.4639,1.0281
1,460,0.4606,1.0322
1,470,0.4971,1.8365
1,480,0.4976,1.8650
1,490,0.4079,1.0679
1,500,0.4767,1.0891
1,510,0.4359,1.0510
1,520,0.4457,1.0344
1,530,0.4225,1.0291
1,540,0.4303,1.0338
1,550,0.4796,1.0293
1,560,0.3999,1.0412
1,570,0.4432,1.0277
1,580,0.4500,1.6431
1,590,0.5061,2.0497
1,600,0.4549,1.0454
1,610,0.4149,1.0665
1,620,0.4495,1.0360
1,630,0.4386,1.0344
1,640,0.4312,1.0440
1,650,0.4195,1.0350
1,660,0.4537,1.2244
1,670,0.4640,1.0399
1,680,0.4178,1.0300
1,690,0.3575,1.6809
1,700,0.4787,2.0762
1,710,0.3659,1.0389
1,720,0.4245,1.0311
1,730,0.4573,1.0302
1,740,0.3766,1.0303
1,750,0.3806,1.0743
1,760,0.4335,1.0369
1,770,0.4100,1.7732
1,780,0.3749,1.4371
1,790,0.3674,2.0000
1,800,0.3597,1.8746
1,810,0.3773,1.0253
1,820,0.4098,1.0322
1,830,0.3738,1.0261
1,840,0.3339,1.0276
1,850,0.4275,1.0263
1,860,0.3416,1.0779
1,870,0.3497,1.0218
1,880,0.3874,1.0356
1,890,0.3919,1.0311
1,900,0.3866,1.5752
1,910,0.3547,2.1138
1,920,0.3764,1.0675
1,930,0.3450,1.2072
