epoch,batch,loss,time_per_10_steps
1,10,2.3330,3.4535
1,20,2.2716,1.1003
1,30,2.2350,1.0903
1,40,2.1867,1.1126
1,50,2.0949,1.0804
1,60,2.0158,1.0921
1,70,1.9284,1.1032
1,80,1.7487,1.1166
1,90,1.6318,1.0818
1,100,1.4845,1.0875
1,110,1.2958,1.0872
1,120,1.1970,1.0799
1,130,1.0832,1.0948
1,140,1.0048,1.0930
1,150,1.0856,1.0752
1,160,0.9941,1.0663
1,170,0.9024,1.0878
1,180,0.8181,1.0820
1,190,0.7747,1.0807
1,200,0.7340,1.0748
1,210,0.7097,1.1009
1,220,0.6549,1.0816
1,230,0.6279,1.0940
1,240,0.6161,1.1169
1,250,0.5796,1.1065
1,260,0.5512,1.1028
1,270,0.6167,1.1077
1,280,0.5265,1.1090
1,290,0.5201,1.1034
1,300,0.5251,1.1287
1,310,0.5324,1.0523
1,320,0.5143,1.0328
1,330,0.5038,1.0189
1,340,0.4845,1.0200
1,350,0.4324,1.0349
1,360,0.4063,1.0198
1,370,0.4027,1.0202
1,380,0.4381,1.1068
1,390,0.4447,1.1108
1,400,0.3646,1.1188
1,410,0.3747,1.1099
1,420,0.4467,1.1086
1,430,0.3683,1.0978
1,440,0.3762,1.0901
1,450,0.3656,1.0762
1,460,0.3629,1.0342
1,470,0.3312,1.1257
1,480,0.3263,1.1605
1,490,0.3124,1.1470
1,500,0.3372,1.1301
1,510,0.3221,1.1251
1,520,0.3354,1.1409
1,530,0.3644,1.1350
1,540,0.3205,1.1379
1,550,0.2807,1.1318
1,560,0.2802,1.1335
1,570,0.2712,1.1026
1,580,0.2684,1.1063
1,590,0.3362,1.1321
1,600,0.2796,1.1310
1,610,0.2656,1.0977
1,620,0.2823,1.0900
1,630,0.2691,1.1183
1,640,0.2564,1.0897
1,650,0.2689,1.0991
1,660,0.2986,1.0859
1,670,0.2394,1.0728
1,680,0.3016,1.0846
1,690,0.2637,1.0784
1,700,0.2593,1.0842
1,710,0.2289,1.1026
1,720,0.2101,1.0917
1,730,0.2175,1.0883
1,740,0.2378,1.0954
1,750,0.2258,1.0936
1,760,0.2624,1.1170
1,770,0.2131,1.0974
1,780,0.2153,1.1034
1,790,0.1772,1.1331
1,800,0.1859,1.1150
1,810,0.2302,1.1031
