
step,loss
0,118.8960
100,2.5312
200,2.1023
300,1.9449
400,1.7799
500,1.7418
600,1.6928
700,1.6293
800,1.6097
900,1.5595
1000,1.4603
1100,1.5376
1200,1.4944
1300,1.4119
1400,1.4100
1500,1.4123
1600,1.4596
1700,1.4336
1800,1.3719
1900,1.4342
2000,1.3908
2100,1.3656
2200,1.3731
2300,1.3418
2400,1.3410
2500,1.3191
2600,1.2805
2700,1.3634
2800,1.3343
2900,1.2776
3000,1.2382
3100,1.2962
3200,1.3090
3300,1.2941
3400,1.2591
3500,1.3117
3600,1.2703
3700,1.2844
3800,1.3105
3900,1.2469
4000,1.3042
4100,1.2267
4200,1.2253
4300,1.2534
4400,1.2464
4500,1.2312
4600,1.2466
4700,1.2499
4800,1.2270
4900,1.2553
5000,1.1920
5100,1.2047
5200,1.2342
5300,1.2393
