epoch,batch,loss,time_per_10_steps
1,10,2.3170,28.0422
1,20,2.2953,24.8310
1,30,2.2376,24.9976
1,40,2.1799,25.1719
1,50,2.0954,25.1524
1,60,2.0314,36.8234
1,70,1.9490,37.5808
1,80,1.7653,43.5291
1,90,1.6626,28.2480
1,100,1.5147,33.8089
1,110,1.4509,36.3059
1,120,1.3306,32.7267
1,130,1.2512,35.4739
1,140,1.2285,36.0108
1,150,1.0861,35.3801
1,160,1.0628,34.2963
1,170,0.9769,30.9786
1,180,0.7896,28.5844
1,190,0.8276,25.9363
1,200,0.7581,28.8582
1,210,0.7852,32.4358
1,220,0.6737,25.7643
1,230,0.6795,27.6335
1,240,0.6585,25.9578
1,250,0.6077,25.4159
1,260,0.5613,25.8422
1,270,0.5281,30.3895
1,280,0.5434,31.1461
1,290,0.5508,28.7704
1,300,0.4955,27.5174
1,310,0.5023,30.8235
1,320,0.5067,25.4914
1,330,0.4138,25.5374
1,340,0.5218,25.5322
1,350,0.4743,25.5991
1,360,0.4069,25.4678
1,370,0.4562,25.3953
1,380,0.3951,25.8299
1,390,0.3172,27.4932
1,400,0.3718,25.5240
1,410,0.3411,27.5483
1,420,0.3986,30.9622
1,430,0.3964,33.1663
1,440,0.3309,27.9280
1,450,0.3110,26.2557
1,460,0.3339,25.4858
1,470,0.3132,25.6780
1,480,0.2995,28.6009
1,490,0.3372,25.3780
1,500,0.2826,25.5933
1,510,0.3474,27.6327
1,520,0.3164,29.2077
1,530,0.2657,25.5660
1,540,0.2458,25.6160
1,550,0.2512,25.5008
1,560,0.3030,25.4682
1,570,0.2396,25.7700
1,580,0.2743,25.8401
1,590,0.2737,25.6591
1,600,0.2372,25.6210
1,610,0.2288,25.5586
1,620,0.3071,25.5644
1,630,0.2254,25.8392
1,640,0.1973,25.9289
1,650,0.2088,25.6333
1,660,0.2403,25.5946
1,670,0.2190,25.4786
1,680,0.1727,25.6481
1,690,0.2096,26.3502
1,700,0.2531,26.5926
1,710,0.2271,25.4314
1,720,0.2761,26.4993
1,730,0.2084,25.5771
1,740,0.1733,25.5875
1,750,0.1656,30.9603
1,760,0.1682,31.0784
1,770,0.2297,33.1797
1,780,0.1899,32.5783
1,790,0.1723,28.6391
1,800,0.1458,25.7451
1,810,0.1956,28.6432
1,820,0.1868,25.8036
1,830,0.1701,28.1866
1,840,0.1942,33.2291
1,850,0.1807,26.9543
1,860,0.1793,26.8800
1,870,0.1443,25.6899
1,880,0.1817,25.7113
1,890,0.1683,26.0565
1,900,0.2016,25.8057
1,910,0.1404,25.4289
1,920,0.1748,25.3080
1,930,0.1554,25.4797
2,10,0.1482,32.2131
2,20,0.1401,29.2165
2,30,0.1445,27.0015
2,40,0.1573,32.4765
2,50,0.1402,33.4586
2,60,0.1294,27.5993
2,70,0.1696,29.8989
