epoch,batch,loss
1,10,2.2933
1,20,2.2449
1,30,2.0877
1,40,1.9571
1,50,1.9212
1,60,1.8338
1,70,1.7389
1,80,1.7355
1,90,1.6614
1,100,1.5718
1,110,1.5855
1,120,1.4623
1,130,1.4534
1,140,1.3529
1,150,1.2725
1,160,1.3303
1,170,1.2966
1,180,1.3197
1,190,1.3161
1,200,1.3765
1,210,1.2778
1,220,1.1697
1,230,1.1194
1,240,1.1934
1,250,1.1570
1,260,1.1623
1,270,1.1341
1,280,1.2371
1,290,1.1642
1,300,1.1062
1,310,1.1742
1,320,1.2306
1,330,1.1236
1,340,1.0800
1,350,1.1599
1,360,1.1016
1,370,1.0127
1,380,1.0478
1,390,1.0552
1,400,1.0370
1,410,1.0876
1,420,0.9859
1,430,0.9769
1,440,1.0480
1,450,0.9431
1,460,1.0106
1,470,1.0083
1,480,1.0741
1,490,1.0104
1,500,0.9558
1,510,0.9957
1,520,0.9925
1,530,0.8655
1,540,0.9472
1,550,0.8061
1,560,0.8594
1,570,0.8526
1,580,0.8343
1,590,0.8321
1,600,0.8811
1,610,0.8663
1,620,0.9493
1,630,0.8776
1,640,0.8180
1,650,0.8523
1,660,0.8399
1,670,0.8226
1,680,0.7836
1,690,0.7284
1,700,0.7612
1,710,0.7169
1,720,0.8071
1,730,0.7653
1,740,0.8538
1,750,0.8240
1,760,0.7882
1,770,0.8035
1,780,0.7025
1,790,0.7386
1,800,0.7476
1,810,0.7405
1,820,0.7457
1,830,0.6890
1,840,0.7348
1,850,0.7477
1,860,0.6565
1,870,0.6928
1,880,0.7961
1,890,0.7128
1,900,0.7869
1,910,0.6240
1,920,0.6105
1,930,0.6383
2,10,0.6983
2,20,0.6265
2,30,0.6813
2,40,0.6208
2,50,0.7131
2,60,0.5577
2,70,0.5784
2,80,0.6392
2,90,0.6712
2,100,0.6473
2,110,0.5500
2,120,0.6100
2,130,0.5225
2,140,0.5674
2,150,0.5619
2,160,0.6340
2,170,0.5919
2,180,0.5850
2,190,0.6632
2,200,0.5292
2,210,0.5477
2,220,0.5354
2,230,0.5669
2,240,0.4434
2,250,0.6303
2,260,0.5312
2,270,0.5107
2,280,0.5131
2,290,0.5818
2,300,0.5039
2,310,0.5598
2,320,0.4939
2,330,0.5066
2,340,0.4897
2,350,0.4184
2,360,0.4228
2,370,0.4468
2,380,0.5136
2,390,0.5283
2,400,0.4906
2,410,0.4547
2,420,0.4374
2,430,0.5198
2,440,0.4636
2,450,0.5021
2,460,0.4887
2,470,0.5230
2,480,0.5444
2,490,0.4372
2,500,0.4761
2,510,0.4857
2,520,0.4724
2,530,0.4669
2,540,0.3845
2,550,0.4206
2,560,0.3962
2,570,0.3822
2,580,0.4840
2,590,0.3958
2,600,0.4576
2,610,0.4373
2,620,0.4909
2,630,0.4442
2,640,0.4921
2,650,0.4295
2,660,0.3667
2,670,0.4855
2,680,0.4185
2,690,0.3706
2,700,0.3790
2,710,0.4290
2,720,0.3662
2,730,0.4107
2,740,0.3865
2,750,0.3203
2,760,0.3470
2,770,0.3673
2,780,0.3269
2,790,0.3441
2,800,0.3623
2,810,0.3570
2,820,0.3766
2,830,0.4000
2,840,0.3450
2,850,0.4233
2,860,0.3905
2,870,0.4019
2,880,0.4022
2,890,0.3518
2,900,0.3728
2,910,0.3478
2,920,0.3607
2,930,0.3470
3,10,0.3074
3,20,0.3034
3,30,0.3605
3,40,0.3991
3,50,0.3142
3,60,0.3614
3,70,0.3612
3,80,0.3599
3,90,0.3210
3,100,0.3306
3,110,0.3088
3,120,0.3875
3,130,0.3238
3,140,0.3642
3,150,0.3530
3,160,0.3163
3,170,0.3316
3,180,0.4375
3,190,0.3924
3,200,0.3155
3,210,0.3195
3,220,0.3338
3,230,0.3120
3,240,0.3021
3,250,0.3041
3,260,0.2740
3,270,0.3257
3,280,0.2202
3,290,0.2770
3,300,0.3390
3,310,0.2669
3,320,0.3063
3,330,0.2862
3,340,0.2951
3,350,0.3910
3,360,0.5539
3,370,0.4035
3,380,0.3532
3,390,0.2565
3,400,0.2878
3,410,0.3042
3,420,0.2341
3,430,0.3261
3,440,0.3213
3,450,0.2969
3,460,0.3025
3,470,0.3091
3,480,0.3077
3,490,0.3080
3,500,0.3043
3,510,0.3166
3,520,0.2980
3,530,0.2538
3,540,0.3546
3,550,0.3749
3,560,0.2927
3,570,0.2812
3,580,0.2621
3,590,0.2411
3,600,0.2864
3,610,0.2636
3,620,0.2271
3,630,0.2917
3,640,0.2837
3,650,0.3202
3,660,0.3348
3,670,0.3211
3,680,0.2327
3,690,0.2407
3,700,0.3004
3,710,0.2818
3,720,0.2335
3,730,0.2185
3,740,0.3049
3,750,0.2407
3,760,0.2387
3,770,0.2757
3,780,0.2428
3,790,0.2198
3,800,0.3927
3,810,0.2340
3,820,0.3073
3,830,0.2463
3,840,0.2637
3,850,0.2850
3,860,0.2654
3,870,0.2885
3,880,0.2772
3,890,0.3155
3,900,0.2760
3,910,0.2079
3,920,0.2881
3,930,0.2859
4,10,0.2425
4,20,0.2429
4,30,0.1667
4,40,0.2452
4,50,0.2192
4,60,0.2856
4,70,0.2225
4,80,0.2408
4,90,0.2501
4,100,0.2479
4,110,0.2456
4,120,0.2387
4,130,0.1855
4,140,0.2597
4,150,0.2322
4,160,0.2056
4,170,0.2898
4,180,0.3093
4,190,0.2774
4,200,0.3103
4,210,0.3361
4,220,0.3072
4,230,0.2695
4,240,0.2018
4,250,0.1969
4,260,0.1767
4,270,0.2308
4,280,0.2066
4,290,0.2873
4,300,0.2189
4,310,0.2297
4,320,0.2132
4,330,0.2534
4,340,0.2116
4,350,0.2618
4,360,0.2429
4,370,0.2402
4,380,0.2879
4,390,0.2534
4,400,0.4645
4,410,0.3242
4,420,0.2770
4,430,0.2622
4,440,0.2563
4,450,0.2692
4,460,0.2563
4,470,0.2275
4,480,0.2113
4,490,0.2545
4,500,0.2803
4,510,0.2806
4,520,0.2473
4,530,0.2449
4,540,0.2273
4,550,0.2014
4,560,0.1736
4,570,0.2643
4,580,0.2317
4,590,0.1951
4,600,0.3387
4,610,0.6055
4,620,0.4122
4,630,0.3093
4,640,0.3261
4,650,0.3004
4,660,0.2598
4,670,0.2719
4,680,0.2403
4,690,0.3335
4,700,0.2377
4,710,0.2043
4,720,0.2560
4,730,0.1989
4,740,0.2545
4,750,0.2517
4,760,0.2134
4,770,0.3021
4,780,0.2642
4,790,0.2500
4,800,0.1730
4,810,0.2506
4,820,0.1999
4,830,0.3271
4,840,0.1421
4,850,0.1689
4,860,0.2525
4,870,0.2111
4,880,0.1890
4,890,0.2802
4,900,0.2276
4,910,0.1443
4,920,0.1810
4,930,0.2106
5,10,0.2233
5,20,0.2165
5,30,0.2393
5,40,0.1628
5,50,0.1578
5,60,0.2101
5,70,0.2103
5,80,0.1862
5,90,0.2173
5,100,0.1748
5,110,0.2188
5,120,0.2369
5,130,0.1971
5,140,0.1910
5,150,0.2076
5,160,0.2344
5,170,0.2390
5,180,0.1707
5,190,0.2199
5,200,0.1878
5,210,0.1759
5,220,0.2100
5,230,0.1998
5,240,0.2190
5,250,0.2182
5,260,0.2937
5,270,0.2528
5,280,0.2729
5,290,0.2287
5,300,0.1610
5,310,0.2785
5,320,0.1856
5,330,0.2284
5,340,0.2699
5,350,0.2319
5,360,0.2457
5,370,0.2363
5,380,0.2535
5,390,0.2222
5,400,0.2535
5,410,0.2342
5,420,0.2621
5,430,0.2024
5,440,0.1855
5,450,0.1992
5,460,0.1579
5,470,0.2243
5,480,0.1807
5,490,0.1669
5,500,0.1997
5,510,0.1936
5,520,0.2257
5,530,0.1874
5,540,0.1872
5,550,0.2061
5,560,0.2187
5,570,0.1686
5,580,0.2155
5,590,0.1608
5,600,0.2098
5,610,0.2155
